CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
BEND5_49533	BEND5	1404	1269	1198	1571
CCDC24_62183	CCDC24	332	315	553	673
UBA3_23664	UBA3	147	117	668	641
OR2B6_34762	OR2B6	1039	1236	819	1129
REG3G_59780	REG3G	707	452	561	725
LAMC2_10499	LAMC2	1004	1148	973	952
SLC46A3_67407	SLC46A3	1350	1676	1391	1125
ZNF813_59015	ZNF813	1089	1113	617	849
UCHL5_38641	UCHL5	236	151	335	357
CRCP_35970	CRCP	224	374	252	462
IRF3_9708	IRF3	1521	1522	1162	1348
PEBP4_63004	PEBP4	811	724	952	941
EDIL3_26954	EDIL3	434	568	413	495
TPP2_19519	TPP2	462	398	300	441
TBC1D1_32113	TBC1D1	690	961	609	784
CXCL11_17048	CXCL11	1194	1525	1176	1535
ZNF431_64244	ZNF431	657	777	778	836
SAAL1_56937	SAAL1	467	396	562	428
TPM3_19504	TPM3	738	773	959	1136
ZNF736_74805	ZNF736	436	461	239	272
GOLGA8K_74245	GOLGA8K	672	609	1438	1620
HMGN2_8494	HMGN2	447	428	692	760
LAMA4_10471	LAMA4	514	686	679	630
PSMD1_15238	PSMD1	100	133	451	459
FAM161B_61430	FAM161B	548	545	639	622
PDE3A_13507	PDE3A	379	576	337	443
CTAGE9_73865	CTAGE9	31	51	197	324
SMAD2_10959	SMAD2	790	810	958	962
PIP5K1A_21820	PIP5K1A	99	110	520	622
MTRR_11899	MTRR	720	766	735	1107
YY2_72671	YY2	1726	1914	1607	1667
POLN_70176	POLN	1044	1473	979	1166
LUZP6_75091	LUZP6	632	579	636	619
MFAP3L_26176	MFAP3L	926	1043	747	1137
SMYD2_44686	SMYD2	636	616	851	935
RPP40_29201	RPP40	145	296	789	839
MGAM_23502	MGAM	1164	1287	1340	1312
TET1_51093	TET1	1602	1757	1561	2024
ATP11B_32058	ATP11B	504	458	630	611
TM2D2_52585	TM2D2	623	586	557	932
UBE2U_62051	UBE2U	964	926	665	905
DENND4C_42980	DENND4C	338	511	258	331
GTF2A1_7923	GTF2A1	887	593	899	1093
MIB1_45758	MIB1	333	586	370	494
CEACAM4_3103	CEACAM4	684	860	737	742
STX17_41325	STX17	340	489	442	426
RBX1_26628	RBX1	35	45	245	362
THEG_38409	THEG	666	746	657	559
MOCS2_11674	MOCS2	454	652	582	719
ZNF596_64063	ZNF596	515	705	380	456
CEP170B_67447	CEP170B	1568	1648	996	1250
SETDB1_26252	SETDB1	189	370	499	537
MID2_29936	MID2	682	748	439	511
PBX3_13366	PBX3	845	1017	1278	1140
ANTXR1_53042	ANTXR1	667	867	595	660
NDUFV2_12394	NDUFV2	501	803	630	554
FAM126B_68042	FAM126B	604	622	612	701
ZNF398_45785	ZNF398	546	510	406	458
EPDR1_40481	EPDR1	484	670	509	689
ST8SIA2_21323	ST8SIA2	954	1259	942	1047
PRPF39_41328	PRPF39	752	559	896	805
OSTM1_36230	OSTM1	610	752	472	482
SNAP25_17824	SNAP25	1205	1361	1434	1494
PCED1B_55872	PCED1B	919	883	1172	937
OR1J4_34765	OR1J4	345	430	432	401
CAPZA3_56592	CAPZA3	876	1061	762	797
